Set Number, Card Name
234, Han Peregrine
235, Ley, Earl of Hurl
236, Maqui Expedition
237, Nantucket
238, Nomadic Insight
239, Recreational Jettison
240, Refined Adhesive
241, Treasure Island
242, Universal Welcome
243, Viscount of Aerys
244, Æmber Airhart
245, Edge of the World
246, Hunter of Legend
247, Navigator Ketarr
248, Pirate Champion
249, Red Skies
250, Redline Rotation
251, Rose of Sharon
252, Redhawk
253, Shae “Cloudkicker”
254, Silver Linings
255, The Red Baron
256, Watched Closely
257, Against All Flags
258, Bux Bastian
259, Captain Pella
260, Chandler Anouk
261, Fierce Competition
262, Indigo Halyard
263, Prop Dusting
264, Raiding Party
265, Safe Port
266, Shikari
267, Skulking Saboteurs
268, The Twin Lamps
269, Efficient Æmber Burner
270, Flint’s Legend
271, Flint’s Map
272, Flint’s Stash
273, Lateral Thrusters
274, Torpefying Harpoon
275, Wrangler
276, Aerialist
277, Corsair
278, Marketeer
279, Blossom Drake
280, Briar Grubbling
281, Chonkers
282, Forgotten Guardian
283, Fuzzy Gruen
284, Gravid Cycle
285, Kindrith Longshot
286, Niffle Sanctuary
287, Pestergrove
288, Ritual of Life
289, Scout
290, Stampede
291, Witch of the Wilds
292, Word of Returning
293, World Tree
294, Cauldron
295, Fangtooth Cavern
296, Flaxia
297, Fogbank
298, Harlock
299, Kharisma
300, Nature’s Call
301, Niffle Queen
302, Troop Call
303, Umwas
304, Waste Not
305, Æmberspine Mongrel
306, Cooperative Hunting
307, Grovekeeper
308, Keyfrog
309, Massing at Midnight
310, Mollymawk
311, Niffle Ape
312, Signal Faerie
313, Song of Spring
314, Survival of the Richest
315, Unnatural Selection
316, Warfaline
317, Whimsical Conjuror
318, Niffle Brute
319, Briar Instar
320, Steppe Wolf
321, Twilight Pixie
