Set Number, Card Name
S10, Hungry Hippogriff
S11, Icarus 2.0
S12, Impzilla
S13, Lancet
S14, Malifi Dragon
S15, Naja
S16, Red Æmberdrake
S17, Rorqual
S18, Screeyan
S19, Sentient Cloud
S20, Titanarpon
S21, Tyrannus Aquilae
S22, Volax
S23, Yellow Æmberdrake
