Set Number, Card Name
139, Mother Northelle
140, Oracle Zan
141, Relegated Relics
142, The Corpulent Collector
143, The Promised Blade
144, The Vaultkeeper
145, Trenk’s Creed
146, Veemos Lightbringer
147, Barrister Joya
148, Benevolent Charity
149, Bring Low
150, Chanel the Wise
151, Dissonant Chord
152, Equalize
153, Garnet Squire
154, Holdfast
155, Lightbringer Outpost
156, Rothais the Fierce
157, Tealnar
158, Trade Blows
159, Aubade the Grim
160, Brigadier Ols
161, Broken Intent
162, Burning Glare
163, Dame Margaret
164, Divine Seal
165, Greedy Reprisal
166, Grey Warden
167, Jayne the Bard
168, Lightbearer Kelvin
169, Outflank
170, Sir Jaune
171, City Gates
172, Eclectic Ambrosius
173, Enlist Numeri
174, Grimlocus Dux
175, Hadrianus Lorica
176, Imperial Forge
177, Lictor Justinian
178, Ornate Remuneration
179, Patronage
180, Plublio’s Decree
181, Primus Unguis
182, Salvatorem
183, Saury About That
184, Scylla
185, Tectonic Shift
186, Vesuvius Dome
187, Degenerate Decor
188, Exile
189, Gaius
190, Governor Gridelk
191, Gracchan Reform
192, Library of Polliasaurus
193, Orator Hissaro
194, Paleogene Society
195, Philophosaurus
196, Plancina, Hidden Agent
197, Stomp
198, Tribune Pompitus
199, Archlegate Valeria
200, Defense Initiative
201, Governess Silvina
202, Imperial Scutum
203, Imperium
204, Lorica Infantry
205, Marcella, the Younger
206, Publius Scipio
207, Rufus Vergilius
208, Sedimentary Nap
209, Spendthrift
210, Too Low
211, Tricerian Legionary
212, Charybdis
213, Covetous Idol
214, Cursed Loot
215, Customs Office
216, Deipno Spymaster
217, Disabled Security
218, Faygin
219, Feldar’s Plan
220, Finishing Blow
221, Manchego
222, Mickey the Carver
223, One Last Job
224, Ransom
225, Rigged Lottery
226, Sack of Coins
227, Scowly Caper
228, Sleight
229, Bonerot Venom
230, Brutal Consequences
231, Cap Reigns
232, Chummy
233, Cover Fire
234, Fidgit
235, Gone Pear Shaped
236, Lucky Dice
237, Mooncurser
238, Murkens
239, Ox Sarbane
240, “Borrow”
241, Bandit Culver
242, Bondsman Belvan
243, Burnished Nickles
244, Evasive Maneuvers
245, Fallguy
246, Hock
247, Hoodwink
248, Miasma
249, Porter Cilla
250, Predatory Lending
251, Thunk
252, Urchin
253, Book of leQ
254, CWO Tucheay
255, Cosmic Recompense
256, Hold the Line
257, J.O.N. Cargo
258, Jackpot Greene
259, Kaju Zhan
260, Kasheek Fall
261, Psionic Officer Lang
262, Sample 42-C
263, Shakedown Sullivan
264, Stronger Together
265, Tachyon Pulse
266, Uncharted Lands
267, We Can ALL Win
268, Yondar’s Log
269, Bridge Officer Zaro
270, Digital Signal
271, Event Horizon
272, Further Investigations
273, Galactic Tariff
274, Gleaming the Cube
275, LCdr. Trigon
276, Lay of the Land
277, Navigator Ali
278, Omicron Callen
279, Quintrino Flux
280, T3R-35A
281, DAL-33-T3R
282, Ensign Clark
283, Future Booster
284, Into the Warp
285, Precision Striker
286, Recovery Operation
287, Refit
288, Reservist Jones
289, Scout Pete
290, Sil-A-T8
291, Spade Teller
292, Strategic Feint
293, Chonkers
294, Cladogenesis
295, Clonal Witch
296, Drosera Relic
297, Flying Broomstick
298, Giant Gnawbill
299, Jervi
300, Moor Wolf
301, Nectarcyte
302, Penance of Balance
303, Perilous Wild
304, Punctuated Equilibrium
305, Ritual of the Hunt
306, Scout
307, Untrum’s Serenity
308, Word of Returning
309, Break of Dawn
310, Came Back Wrong
311, Crystalline Harvest
312, Envious Venomite
313, Lambent Mycelium
314, Lithomancy
315, Low Dawn
316, Loyal Packmate
317, Mushroom Man
318, Resonant Orb
319, Æmberfly
320, Æmbermancy
321, Chonk Evermore
322, Consult the Bones
323, Flarie
324, Fog Murmook
325, Invigorating Shower
326, Lost in the Woods
327, Mogg
328, Persistence Hunting
329, Prince Bufo
330, Rat Pixie
331, Vivid Faerie
332, Warfaline
333, Windrow Composting
P01, Ask Again Later
P02, Bad Omen
P03, Expect the Unexpected
P04, Fate Laughs at Your Plans
P05, Forge Ahead With Confidence
P06, Go Forth and Conquer
P07, Heads, I Win
P08, It Only Gets Worse
P09, Look How Far You’ve Come
P10, Outlook Not So Good
P11, Overreach
P12, Signs Point to Yes
P13, Stars Aligned
P14, Tails, You Lose
P15, The Cards Will Tell
P16, The Early Bird
P17, The End is Nigh
P18, The Second Mouse
P19, Treat Each Action as Your Last
P20, Trust Your Feelings
P21, Wasteful Regret
P22, Wounds Into Wisdom
