Set Number, Card Name
230, Mooncurser
231, Murkens
232, Oubliette
233, Speed Sigil
234, Subtle Chain
235, Too Much to Protect
236, “Borrow”
237, A. Vinda
238, Bo Nithing
239, Hit and Run
240, Hugger-Mugger
241, J. Vinda
242, Life for a Life
243, Miasma
244, Nerve Blast
245, Ronnie Wristclocks
246, Seeker Needle
247, Shoulder Id
248, Vandalize
249, Awful Atoll
250, Corrode
251, Drawn Down
252, Flash Freeze
253, General Sherman
254, Giltspine Mesmerist
255, Llack Gaboon
256, Omnipus
257, Sibyl Waimare
258, Taniwha
259, Thalassophobia
260, The Chosen One
261, Thing from the Deep
262, Unsettling Ancestry
263, Whirlpool
264, Allusions of Grandeur
265, Catch and Release
266, Dirge of the Deep
267, Fuguru
268, Gatewatcher
269, Hukaru Icefin
270, Kaupe
271, Kelping Hands
272, Physaloha
273, Sleep with the Fishes
274, Thundertow
275, Under Pressure
276, Abyssal Sight
277, Adult Swim
278, Brain Drain
279, Covetous Hema
280, Echoing Deathknell
281, Koriki Germinator
282, Mnemoleech
283, Mælstrom
284, Skullback Crab
285, Tangimangi
286, Trawler
287, “Bubbles”
288, Open the Seal
289, Dark Discovery
290, Dive Deep
291, Tentaclid
